Symbol,NSAF_SpC_ratio,hESC_Ln_NSAF,hNSC_Ln_NSAF,t_test_p,color
NLGN3,0.349280692,-13.91955211,-12.86767271,,gray
NLGN4Y,1.11804066,-12.8734916,-12.98506935,,gray
NLN,1.307556323,-7.64574059,-7.913900583,0.032060472,green
NLRC3,1.486341338,-13.54619981,-13.94251743,,gray
NLRC5,1.238656992,-14.47717481,-14.69120253,,gray
NLRP1,1.2386576,-14.24067987,-14.45470809,,gray
NLRP10,1.238657533,-13.43025754,-13.64428569,,gray
NLRP13,0.780304738,-13.89547994,-13.64740919,,gray
NLRP14,1.238656541,-13.94230388,-14.15633123,,gray
NLRP2,2.518075335,-8.384676645,-9.308171498,0.000341048,red
NLRP4,0.541033156,-14.07840951,-13.46413479,,gray
NLRP7,1.606814511,-13.37737525,-13.85162891,,gray
NLRP8,2.118073662,-13.36378308,-14.11429011,,gray
NLRX1,0.187565612,-12.86460359,-11.19097703,0.091188831,gray
NMD3,1.390073011,-9.437086866,-9.766443138,0.244916258,gray
NME1-NME2,1.277128877,-5.981215261,-6.225829755,0.114337,gray
NME3,0.876347678,-9.222399187,-9.090406813,0.574570739,gray
NME4,0.794099844,-10.91223087,-10.6816848,0.84254115,gray
NME6,1.132077406,-11.23617138,-11.36022574,,gray
NME7,1.164345866,-10.55979349,-10.71195293,0.80548621,gray
NMRAL1,0.224482146,-11.70040178,-10.20644268,0.089427383,gray
NMT1,0.892238643,-8.794404673,-8.680383028,0.620521062,gray
NMT2,0.144333851,-12.70914436,-10.7735181,0.087246236,gray
NNT,0.675264795,-10.5866249,-10.19397452,0.064479673,gray
NOB1,2.676003707,-10.02724893,-11.01157346,0.132734243,gray
NOBOX,1.238656992,-13.43634701,-13.65037473,,gray
NOC2L,0.627880241,-13.14884119,-12.68343536,,gray
NOC3L,0.491561353,-13.86128381,-13.15111529,,gray
NOC4L,0.42941874,-13.42277911,-12.57745636,,gray
NOL11,1.363318424,-12.59928856,-12.90921031,,gray
NOL3,0.491561132,-12.77509505,-12.06492608,,gray
NOL4,0.780304677,-13.63501045,-13.38693962,,gray
NOL7,3.121212014,-11.57050302,-12.70872441,,gray
NOL9,0.413813019,-10.41842802,-9.53608697,0.122805128,gray
NOLC1,0.904979077,-10.76684271,-10.66699925,0.883432237,gray
NOM1,1.966245412,-13.2404579,-13.91658374,,gray
NOMO2,1.318130731,-8.957456795,-9.233671415,0.149600179,gray
NOMO3,13.38925003,-10.69835445,-13.2928066,,gray
NONO,0.778959486,-7.046723323,-6.79692708,0.036125934,green
NOP10,0.610995027,-9.775382343,-9.282715883,0.206894647,gray
NOP14,0.309664602,-13.93010927,-12.75784377,,gray
NOP16,1.701310051,-9.725202273,-10.25660085,0.488353318,gray
NOP2,0.61062856,-10.00016616,-9.506899729,0.33545536,gray
NOP56,0.961437043,-10.90643062,-10.86710443,0.959966338,gray
NOP58,1.712418222,-9.69665619,-10.23456273,0.044569894,green
NOS1,0.780304627,-14.46832963,-14.22025874,,gray
NOS1AP,0.780305535,-13.40320905,-13.15513933,,gray
NOS2,0.157926888,-13.99574596,-12.15012287,0.02290612,blue
NOS3,0.619328744,-14.26924483,-13.79012578,,gray
NOSIP,1.443807402,-8.406618252,-8.773901905,0.155911091,gray
NOTCH1,1.004501675,-12.94342823,-12.9479198,0.993149302,gray
NOTCH2,0.478618965,-12.93112244,-12.19427196,0.132450202,gray
NOTCH3,1.18383705,-12.06919841,-12.23795931,0.516355084,gray
NOVA1,0.295801659,-11.99301837,-10.77495225,0.28876584,gray
NOVA2,0.162785815,-12.1881359,-10.37281594,0.02620211,blue
NOX1,1.786452514,-12.91447298,-13.4947048,,gray
NOX5,6.306801122,-11.95789764,-13.79952623,,gray
NOXA1,2.835819417,-11.12126752,-12.16359845,,gray
NPC1,1.441434523,-12.26397701,-12.62961583,0.527361189,gray
NPC2,0.623585431,-8.611098631,-8.138829126,0.069594407,gray
NPDC1,0.282829334,-12.96049827,-11.69758664,,gray
NPEPL1,0.234015653,-12.24174695,-10.78937968,0.127910993,gray
NPEPPS,0.704502301,-8.015042788,-7.664779106,0.005811815,green
NPHP1,1.560609636,-13.31172026,-13.7567968,,gray
NPHP3,0.320843854,-13.82269977,-12.68589906,,gray
NPLOC4,0.709508917,-9.452402037,-9.109219822,0.33690768,gray
NPM1,1.021722199,-6.071642944,-6.093132578,0.910427925,gray
NPM3,1.569844415,-9.027224726,-9.478201242,0.439028983,gray
NPR2,1.560610018,-13.66825801,-14.11333479,,gray
NPRL3,0.70895415,-12.46120081,-12.11723639,0.491492966,gray
NPTN,0.416231639,-10.58232288,-9.705809531,0.069170069,gray
NQO1,1.238656992,-12.55874977,-12.77277749,,gray
NQO2,8.472294649,-10.46526807,-12.60206946,0.000894005,red
NR1H4,0.780306273,-13.36287739,-13.11480861,,gray
NR1I2,1.238656992,-13.10472073,-13.31874846,,gray
NR2C2,1.238658008,-13.36724463,-13.58127318,,gray
NR2C2AP,1.358589831,-9.99423109,-10.30067836,0.370850416,gray
NR2F6,1.034957498,-11.53087548,-11.56523584,,gray
NR3C1,5.549199674,-12.10272281,-13.81637653,,gray
NR3C2,1.238658624,-13.84130416,-14.0553332,,gray
NR5A2,0.847349153,-11.86621339,-11.70057094,0.696240236,gray
NR6A1,0.025312539,-13.08744596,-9.410990554,0.00049673,blue
NRAP,0.619328137,-14.63716238,-14.15804234,,gray
NRAS,0.848627525,-8.282233345,-8.118098434,0.349985845,gray
NRBF2,1.560610018,-12.37405634,-12.81913312,,gray
NRBP1,0.43383165,-10.17138334,-9.336284621,0.080337472,gray
NRCAM,0.031974702,-14.35292661,-10.91011636,0.000375554,blue
NRD1,1.958131773,-9.325817761,-9.997808602,0.003875108,green
NRF1,0.251125401,-12.74119222,-11.35938936,0.072487086,gray
NRG1,0.23631805,-13.6505627,-12.20798599,,gray
NRIP1,1.238656992,-14.00007252,-14.21410024,,gray
NRK,0.412864681,-13.94586395,-13.06122856,,gray
NRM,0.314375272,-10.1600322,-9.002864323,0.116435513,gray
NRP2,0.541033555,-13.08873437,-12.47446039,,gray
NRXN1,0.723262765,-14.28969651,-13.96571383,,gray
NRXN2,1.582711716,-12.72331322,-13.18245287,0.530336613,gray
NRXN3,0.619327478,-14.5809524,-14.1018313,,gray
NSD1,3.572905028,-13.32369778,-14.59707678,,gray
NSDHL,0.910550844,-8.724480942,-8.630775403,0.556955541,gray
NSF,0.511799214,-9.468600049,-8.798777157,0.009871932,green
